data , dia,casos,mortes
01/03, 0,   130,    0
02/03, 1,   165,    0
03/03, 2,   203,    0
04/03, 3,   262,    0
05/03, 4,   545,    0
06/03, 5,   670,    0
07/03, 6,   800,    0
08/03, 7,  1040,    0
09/03, 8,  1224,    2
10/03, 9,  1565,    2
11/03,10,  1966,    3
12/03,11,  2745,    6
13/03,12,  3675,    8
14/03,13,  4599,    9
15/03,14,  5813,   13
16/03,15,  7272,   17
17/03,16,  9367,   26
18/03,17, 12327,   28
19/03,18, 15320,   44
20/03,19, 19848,   68
21/03,20, 22364,   84
22/03,21, 24873,   94
23/03,22, 29056,  123
24/03,23, 32991,  159
25/03,24, 37323,  206
26/03,25, 43938,  267
27/03,26, 50871,  351
28/03,27, 57965,  433
29/03,28, 62435,  541
30/03,29, 66885,  654
31/03,30, 71808,  775
01/04,31, 77981,  931
02/04,32, 84794, 1107
03/04,33, 91159, 1275
04/04,34, 96092, 1444
05/04,35,100123, 1584
06/04,36,103375, 1810
07/04,37,107663, 2016
08/04,38,113296, 2349
09/04,39,118235, 2607
10/04,40,122171, 2736
11/04,41,125452, 2841
12/04,42,127854, 3022
13/04,43,130072, 3194
14/04,44,132210, 3495
15/04,45,134753, 3804